2023 Rank,Municipality,Designation,Primary County,2023 Estimate,2020 Census
531.0,Mount Vernon,Town,Franklin,2491.0,265.0
532.0,Palmer,Town,Ellis,2393.0,677.0
533.0,Junction,City,Kimble,2451.0,326.0
534.0,Floydada,City,Floyd,2675.0,583.0
535.0,Panorama Village,City,Montgomery,2515.0,32.0
536.0,Daingerfield,City,Morris,2522.0,79.0
537.0,Hooks,City,Bowie,2518.0,135.0
538.0,Pantego,Town,Tarrant,2568.0,339.0
539.0,Gunter,City,Grayson,2060.0,1956.0
540.0,Trinity,City,Trinity,2343.0,452.0
541.0,Merkel,Town,Taylor,2471.0,154.0
542.0,El Cenizo,City,Webb,2540.0,425.0
543.0,Tahoka,City,Lynn,2375.0,219.0
544.0,Woodville,Town,Tyler,2403.0,4.0
545.0,Premont,City,Jim Wells,2455.0,220.0
546.0,Elmendorf,City,Bexar,1862.0,2879.0
547.0,Salado,Village,Bell,2394.0,0.0
548.0,Sonora,City,Sutton,2502.0,444.0
549.0,Nixon,City,Gonzales,2341.0,205.0
550.0,Santa Rosa,Town,Cameron,2450.0,318.0
551.0,The Hills,Village,Travis,2613.0,922.0
552.0,Freer,City,Duval,2461.0,398.0
553.0,Panhandle,Town,Carson,2378.0,84.0
554.0,Arcola,City,Fort Bend,2034.0,1534.0
555.0,De Leon,City,Comanche,2258.0,350.0
556.0,Hedwig Village,City,Harris,2370.0,211.0
557.0,St. Hedwig,Town,Bexar,2227.0,413.0
558.0,Winters,City,Runnels,2345.0,111.0
559.0,Overton,City,Rusk,2275.0,180.0
560.0,Blue Mound,City,Tarrant,2393.0,355.0
561.0,Roman Forest,City,Montgomery,1781.0,2948.0
562.0,Anson,City,Jones,2294.0,35.0
563.0,Odem,City,San Patricio,2255.0,208.0
564.0,Rio Hondo,City,Cameron,2021.0,1356.0
565.0,Tool,City,Henderson,2175.0,552.0
566.0,Ranger,City,Eastland,2300.0,78.0
567.0,Dalworthington Gardens,City,Tarrant,2293.0,78.0
568.0,Electra,City,Wichita,2292.0,87.0
569.0,Briarcliff,Village,Travis,2062.0,975.0
570.0,Malakoff,City,Henderson,2179.0,330.0
571.0,East Bernard,City,Wharton,2218.0,99.0
572.0,Seagraves,City,Gaines,2153.0,344.0
573.0,Pinehurst,City,Orange,2232.0,27.0
574.0,Quanah,City,Hardeman,2279.0,233.0
575.0,Canadian,City,Hemphill,2339.0,552.0
576.0,Lyford,City,Willacy,2249.0,187.0
577.0,Copper Canyon,Town,Denton,1731.0,2542.0
578.0,George West,City,Live Oak,2171.0,18.0
579.0,Shiner,City,Lavaca,2127.0,169.0
580.0,Olmos Park,City,Bexar,2180.0,87.0
581.0,Weimar,City,Colorado,2076.0,366.0
582.0,Kountze,City,Hardin,1981.0,757.0
583.0,Mason,City,Mason,2121.0,24.0
584.0,Troup,City,Smith,2006.0,503.0
585.0,Idalou,City,Lubbock,2193.0,397.0
586.0,Whitney,Town,Hill,1992.0,492.0
587.0,Leonard,City,Fannin,1987.0,483.0
588.0,Italy,Town,Ellis,1926.0,794.0
589.0,West Tawakoni,City,Hunt,1895.0,934.0
590.0,Huntington,City,Angelina,2025.0,183.0
591.0,Bertram,City,Burnet,1616.0,2748.0
592.0,South Padre Island,Town,Cameron,2066.0,121.0
593.0,Johnson City,City,Blanco,1627.0,2520.0
594.0,Memphis,City,Hall,2048.0,63.0
595.0,Kirbyville,City,Jasper,2036.0,49.0
596.0,Cooper,City,Delta,1911.0,597.0
597.0,Collinsville,Town,Grayson,1866.0,841.0
598.0,Quitman,City,Wood,1942.0,376.0
599.0,Ganado,City,Jackson,1975.0,162.0
600.0,Blanco,City,Blanco,1682.0,1920.0
601.0,Shepherd,City,San Jacinto,2105.0,475.0
602.0,Anahuac,City,Chambers,1980.0,86.0
603.0,Hale Center,City,Hale,2062.0,315.0
604.0,Runaway Bay,City,Wise,1546.0,2872.0
605.0,Little River-Academy,City,Bell,1992.0,40.0
606.0,Cresson,City,Parker,1349.0,4700.0
607.0,Poth,Town,Wilson,1819.0,819.0
608.0,Cross Roads,Town,Denton,1744.0,1261.0
609.0,Van Horn,Town,Culberson,1941.0,103.0
610.0,Jones Creek,Village,Brazoria,1975.0,86.0
611.0,Splendora,City,Montgomery,1683.0,1634.0
612.0,Krugerville,City,Denton,1766.0,1070.0
613.0,Waskom,City,Harrison,1910.0,157.0
614.0,Grandview,City,Johnson,1879.0,250.0
615.0,Olton,City,Lamb,1989.0,317.0
616.0,Albany,City,Shackelford,1854.0,372.0
617.0,Westlake,Town,Tarrant,1623.0,1830.0
618.0,Meadowlakes,City,Burnet,1907.0,73.0
619.0,Patton Village,City,Montgomery,1647.0,1463.0
620.0,Stratford,City,Sherman,1939.0,273.0
621.0,Woodcreek,City,Hays,1770.0,576.0
622.0,Beverly Hills,City,McLennan,1878.0,59.0
623.0,San Augustine,City,San Augustine,1920.0,276.0
624.0,Clarendon,City,Donley,1877.0,96.0
625.0,Buffalo,City,Leon,1767.0,498.0
626.0,Southside Place,City,Harris,1835.0,109.0
627.0,Hamlin,City,Jones,1831.0,109.0
628.0,Jefferson,City,Marion,1875.0,128.0
629.0,Sour Lake,City,Hardin,1773.0,440.0
630.0,Ingram,City,Kerr,1787.0,347.0
631.0,Mart,City,McLennan,1748.0,578.0
632.0,Rhome,City,Wise,1630.0,1307.0
633.0,Eden,City,Concho,1100.0,6673.0
634.0,Itasca,City,Hill,1562.0,1722.0
635.0,Bartonville,Town,Denton,1725.0,591.0
636.0,Uhland,City,Hays,1588.0,1467.0
637.0,Wellington,City,Collingsworth,1896.0,396.0
638.0,Linden,City,Cass,1825.0,66.0
639.0,Somerset,City,Bexar,1756.0,285.0
640.0,Lorena,City,McLennan,1785.0,101.0
641.0,Fritch,City,Hutchinson,1859.0,350.0
642.0,Yorktown,City,DeWitt,1810.0,94.0
643.0,Whitewright,Town,Grayson,1725.0,296.0
644.0,Honey Grove,City,Fannin,1715.0,327.0
645.0,Bayou Vista,City,Galveston,1763.0,11.0
646.0,Goldthwaite,City,Mills,1738.0,138.0
647.0,Boyd,Town,Wise,1416.0,2408.0
648.0,Franklin,City,Robertson,1614.0,706.0
649.0,Gregory,City,San Patricio,1740.0,92.0
650.0,Edgewood,Town,Van Zandt,1530.0,1255.0
651.0,McCamey,City,Upton,1831.0,623.0
652.0,Shamrock,City,Wheeler,1789.0,447.0
653.0,Sunray,City,Moore,1707.0,12.0
654.0,Goliad,City,Goliad,1620.0,389.0
655.0,Lowry Crossing,City,Collin,1689.0,53.0
656.0,Oak Leaf,City,Ellis,1552.0,818.0
657.0,Morton,City,Cochran,1690.0,77.0
658.0,Danbury,City,Brazoria,1671.0,24.0
659.0,Marfa,City,Presidio,1788.0,638.0
660.0,Muenster,City,Cooke,1536.0,840.0
661.0,Holliday,City,Archer,1524.0,827.0
662.0,Bovina,City,Parmer,1699.0,294.0
663.0,Three Rivers,City,Live Oak,1474.0,1133.0
664.0,Archer City,City,Archer,1601.0,156.0
665.0,Cottonwood Shores,City,Burnet,1403.0,1554.0
666.0,Moody,City,McLennan,1376.0,1759.0
667.0,Bartlett,City,Williamson,1633.0,104.0
668.0,Stinnett,City,Hutchinson,1650.0,224.0
669.0,Lakeside,Town,Tarrant,1649.0,315.0
670.0,Charlotte,City,Atascosa,1524.0,472.0
671.0,Brookside Village,City,Brazoria,1548.0,284.0
672.0,Fulton,Town,Aransas,1523.0,453.0
673.0,Ralls,City,Crosby,1665.0,523.0
674.0,Newton,City,Newton,1633.0,380.0
675.0,New Fairview,City,Wise,1386.0,1241.0
677.0,Aurora,City,Wise,1390.0,1180.0
678.0,Eldorado,City,Schleicher,1574.0,165.0
679.0,Hughes Springs,City,Cass,1575.0,171.0
680.0,Bangs,City,Brown,1540.0,19.0
681.0,Alvord,Town,Wise,1351.0,1406.0
682.0,Quinlan,City,Hunt,1414.0,870.0
683.0,Woodbranch,City,Montgomery,1330.0,1541.0
684.0,Baird,City,Callahan,1479.0,318.0
685.0,Bells,Town,Grayson,1521.0,0.0
686.0,Plum Grove,City,Liberty,1245.0,2217.0
687.0,Shoreacres,City,Harris,1566.0,338.0
688.0,Kerens,City,Navarro,1505.0,66.0
689.0,Grapeland,City,Houston,1465.0,150.0
690.0,Stockdale,City,Wilson,1413.0,403.0
691.0,Seven Points,City,Henderson,1370.0,723.0
692.0,De Kalb,City,Bowie,1527.0,432.0
693.0,Hico,City,Hamilton,1335.0,936.0
694.0,Blossom,City,Lamar,1402.0,385.0
695.0,Bruceville-Eddy,City,McLennan,1413.0,290.0
696.0,Wolfe City,City,Hunt,1399.0,393.0
697.0,Hubbard,City,Hill,1394.0,416.0
698.0,Wheeler,City,Wheeler,1487.0,276.0
699.0,Corrigan,Town,Polk,1477.0,284.0
700.0,Crosbyton,City,Crosby,1492.0,389.0
701.0,Meridian,City,Bosque,1396.0,236.0
702.0,Rollingwood,City,Travis,1467.0,293.0
703.0,Nevada,City,Collin,1314.0,799.0
704.0,Somerville,City,Burleson,1312.0,816.0
705.0,Lockney,Town,Floyd,1498.0,561.0
706.0,La Vernia,City,Wilson,1077.0,3045.0
707.0,Hawkins,City,Wood,1274.0,997.0
708.0,Naples,City,Morris,1387.0,101.0
709.0,Queen City,City,Cass,1397.0,21.0
710.0,Lone Star,City,Morris,1400.0,21.0
711.0,Farwell,City,Parmer,1425.0,316.0
712.0,Ivanhoe,City,Tyler,1327.0,377.0
713.0,Sabinal,City,Uvalde,1364.0,95.0
714.0,Tatum,City,Rusk,1342.0,261.0
715.0,Flatonia,Town,Fayette,1308.0,482.0
716.0,Emory,City,Rains,1251.0,919.0
717.0,Thorndale,City,Milam,1263.0,800.0
718.0,Booker,Town,Lipscomb,1437.0,522.0
719.0,Palm Valley,City,Cameron,1413.0,389.0
720.0,Wallis,City,Austin,1292.0,441.0
721.0,Kemp,City,Kaufman,1129.0,1940.0
722.0,Menard,City,Menard,1348.0,37.0
723.0,Rosebud,City,Falls,1296.0,332.0
724.0,Old River-Winfree,City,Chambers,1315.0,175.0
725.0,Natalia,City,Medina,1202.0,1115.0
726.0,Brackettville,City,Kinney,1341.0,52.0
727.0,Plains,Town,Yoakum,1355.0,199.0
728.0,Rotan,City,Fisher,1332.0,173.0
729.0,Big Sandy,Town,Upshur,1231.0,626.0
730.0,Valley Mills,City,Bosque,1229.0,586.0
731.0,Clear Lake Shores,City,Galveston,1258.0,302.0
732.0,Oak Ridge,Town,Kaufman,771.0,6770.0
733.0,Brownsboro,City,Henderson,1212.0,660.0
734.0,Sundown,City,Hockley,1283.0,70.0
735.0,Lexington,Town,Lee,1217.0,592.0
736.0,Lakeside City,Town,Archer,1082.0,1895.0
737.0,Tioga,Town,Grayson,1142.0,1235.0
738.0,China,City,Jefferson,1260.0,175.0
739.0,Woodsboro,Town,Refugio,1319.0,296.0
740.0,Kempner,City,Lampasas,1146.0,1073.0
741.0,Elkhart,Town,Anderson,1287.0,210.0
742.0,Point Venture,Village,Travis,1260.0,24.0
743.0,Martindale,City,Caldwell,1253.0,24.0
744.0,Newark,City,Wise,1096.0,1250.0
745.0,Gholson,City,McLennan,1250.0,168.0
746.0,Rice,City,Navarro,1203.0,200.0
747.0,Tolar,City,Hood,941.0,3039.0
748.0,Munday,City,Knox,1246.0,193.0
749.0,Roscoe,City,Nolan,1271.0,401.0
750.0,Tye,City,Taylor,1176.0,374.0
751.0,Oyster Creek,City,Brazoria,1173.0,315.0
752.0,La Grulla,City,Starr,1222.0,106.0
753.0,LaCoste,City,Medina,1077.0,1198.0
754.0,Florence,City,Williamson,1171.0,273.0
755.0,Blue Ridge,City,Collin,1180.0,169.0
756.0,Lindsay,City,Cooke,1045.0,1455.0
757.0,Von Ormy,City,Bexar,1174.0,170.0
758.0,Granger,City,Williamson,1183.0,85.0
759.0,Rio Vista,City,Johnson,1008.0,1806.0
760.0,Claude,City,Armstrong,1186.0,0.0
761.0,Cut and Shoot,City,Montgomery,1087.0,892.0
762.0,Pine Island,Town,Waller,1077.0,966.0
763.0,Orange Grove,City,Jim Wells,1165.0,112.0
764.0,Ore City,City,Upshur,1108.0,605.0
765.0,Ransom Canyon,Town,Lubbock,1189.0,252.0
766.0,Eustace,City,Henderson,1137.0,176.0
767.0,Benavides,City,Duval,1183.0,330.0
768.0,Sterling City,City,Sterling,1121.0,152.0
769.0,Ames,City,Liberty,937.0,2134.0
770.0,China Grove,Town,Bexar,1141.0,88.0
771.0,Holland,Town,Bell,1075.0,447.0
772.0,Pleak,Village,Fort Bend,971.0,1565.0
773.0,Frankston,Town,Anderson,1126.0,133.0
774.0,Tiki Island,Village,Galveston,1106.0,27.0
775.0,Daisetta,City,Liberty,923.0,1972.0
776.0,Rogers,Town,Bell,1113.0,72.0
777.0,Bogata,City,Red River,1074.0,196.0
778.0,Gruver,City,Hansford,1130.0,416.0
779.0,Southmayd,City,Grayson,978.0,1074.0
780.0,Jamaica Beach,City,Galveston,1078.0,19.0
781.0,Marion,City,Guadalupe,1034.0,387.0
782.0,Chico,City,Wise,946.0,1247.0
783.0,Riesel,City,McLennan,1062.0,0.0
784.0,Alto,Town,Cherokee,1027.0,263.0
785.0,Holiday Lakes,Town,Brazoria,991.0,626.0
786.0,Knox City,City,Knox,1065.0,178.0
787.0,Bevil Oaks,City,Jefferson,1089.0,441.0
788.0,Robert Lee,City,Coke,1027.0,97.0
789.0,Hemphill,City,Sabine,1029.0,39.0
790.0,Santa Anna,Town,Coleman,1014.0,158.0
791.0,Wortham,Town,Navarro,980.0,480.0
792.0,Clint,Town,El Paso,923.0,986.0
793.0,Tenaha,Town,Shelby,989.0,233.0
794.0,Los Indios,Town,Cameron,1008.0,10.0
795.0,Seadrift,City,Calhoun,995.0,141.0
796.0,Timpson,City,Shelby,989.0,131.0
797.0,Fairchilds,Village,Fort Bend,864.0,1574.0
798.0,Iraan,City,Pecos,1055.0,569.0
799.0,White Deer,Town,Carson,918.0,839.0
800.0,Paducah,Town,Cottle,1063.0,687.0
801.0,Lakeport,City,Gregg,976.0,133.0
802.0,New Waverly,City,Walker,914.0,788.0
803.0,St. Paul,Town,Collin,992.0,60.0
804.0,Gorman,City,Eastland,976.0,82.0
805.0,Mustang Ridge,City,Travis,944.0,413.0
806.0,New London,City,Rusk,958.0,230.0
807.0,Petersburg,City,Hale,1014.0,404.0
808.0,Arp,City,Smith,892.0,897.0
809.0,Calvert,City,Robertson,962.0,83.0
810.0,Maud,City,Bowie,977.0,113.0
811.0,Maypearl,City,Ellis,939.0,277.0
812.0,Bronte,Town,Coke,933.0,279.0
813.0,East Mountain,City,Upshur,899.0,634.0
814.0,Waelder,City,Gonzales,933.0,236.0
815.0,Centerville,City,Leon,905.0,486.0
816.0,Hill Country Village,City,Bexar,942.0,53.0
817.0,Runge,Town,Karnes,892.0,605.0
818.0,Tom Bean,City,Grayson,930.0,161.0
819.0,St. Jo,City,Montague,881.0,715.0
820.0,Cross Plains,Town,Callahan,899.0,400.0
821.0,Groveton,City,Trinity,918.0,174.0
822.0,Sudan,City,Lamb,940.0,74.0
823.0,Omaha,City,Morris,936.0,43.0
824.0,Red Lick,City,Bowie,946.0,180.0
825.0,Crawford,Town,McLennan,887.0,428.0
826.0,Lorenzo,City,Crosby,964.0,415.0
827.0,Miles,City,Runnels,875.0,549.0
828.0,Anton,City,Hockley,907.0,99.0
829.0,Berryville,Town,Henderson,824.0,971.0
830.0,Coahoma,Town,Howard,945.0,455.0
831.0,Pineland,City,Sabine,888.0,158.0
832.0,East Tawakoni,City,Rains,824.0,910.0
833.0,Earth,City,Lamb,901.0,44.0
834.0,New Summerfield,City,Cherokee,843.0,534.0
835.0,Post Oak Bend City,Town,Kaufman,683.0,3001.0
836.0,Vega,City,Oldham,879.0,57.0
837.0,Bandera,City,Bandera,829.0,603.0
838.0,Wells,Town,Cherokee,853.0,305.0
839.0,Walnut Springs,City,Bosque,795.0,1044.0
840.0,Wink,City,Winkler,915.0,426.0
841.0,Bremond,City,Robertson,858.0,175.0
842.0,Blooming Grove,Town,Navarro,857.0,152.0
843.0,Celeste,City,Hunt,809.0,729.0
844.0,Indian Lake,Town,Cameron,839.0,346.0
845.0,Coldspring,City,San Jacinto,819.0,574.0
846.0,Garrett,Town,Ellis,829.0,434.0
847.0,Thrall,City,Williamson,816.0,600.0
848.0,Valley View,City,Cooke,737.0,1723.0
849.0,Moulton,Town,Lavaca,854.0,59.0
850.0,Hart,City,Castro,869.0,161.0
851.0,Redwater,City,Bowie,853.0,23.0
852.0,Trinidad,City,Henderson,860.0,81.0
853.0,Rocksprings,Town,Edwards,874.0,297.0
854.0,Hardin,City,Liberty,768.0,1029.0
855.0,Tuscola,City,Taylor,850.0,129.0
856.0,Dennis,Town,Parker,727.0,1499.0
857.0,Spur,City,Dickens,863.0,382.0
858.0,Scurry,Town,Kaufman,688.0,2049.0
859.0,Road Runner,Town,Cooke,766.0,744.0
860.0,Jewett,City,Leon,793.0,353.0
861.0,Oak Grove,Town,Kaufman,617.0,3274.0
862.0,Dawson,Town,Navarro,815.0,25.0
863.0,Garrison,City,Nacogdoches,789.0,355.0
864.0,Weston,City,Collin,283.0,18834.0
865.0,Trenton,City,Fannin,743.0,969.0
866.0,Hilshire Village,City,Harris,816.0,74.0
867.0,Knollwood,City,Grayson,764.0,550.0
868.0,Santa Clara,City,Guadalupe,778.0,321.0
869.0,Lometa,City,Lampasas,753.0,624.0
870.0,Log Cabin,City,Henderson,678.0,1755.0
871.0,Sunrise Beach Village,City,Llano,739.0,704.0
872.0,Bailey's Prairie,Village,Brazoria,775.0,168.0
873.0,Coolidge,Town,Limestone,778.0,103.0
874.0,Clarksville City,City,Gregg,780.0,64.0
875.0,Point,City,Rains,745.0,497.0
876.0,Lone Oak,City,Hunt,643.0,2146.0
877.0,Ector,City,Fannin,737.0,570.0
878.0,Milford,Town,Ellis,722.0,776.0
879.0,Aspermont,Town,Stonewall,789.0,177.0
880.0,Rising Star,Town,Eastland,756.0,198.0
881.0,Mertzon,City,Irion,747.0,254.0
882.0,Throckmorton,Town,Throckmorton,727.0,523.0
883.0,Noonday,City,Smith,612.0,2402.0
884.0,Kenefick,Town,Liberty,615.0,2260.0
885.0,Savoy,City,Fannin,712.0,576.0
886.0,Payne Springs,Town,Henderson,741.0,148.0
887.0,Crowell,City,Foard,769.0,247.0
888.0,New Berlin,City,Guadalupe,656.0,1387.0
889.0,Como,Town,Hopkins,728.0,247.0
890.0,Beckville,City,Panola,722.0,277.0
891.0,Pecan Hill,City,Ellis,735.0,95.0
892.0,Lakewood Village,City,Denton,635.0,1638.0
893.0,Joaquin,City,Shelby,734.0,27.0
894.0,New Deal,Town,Lubbock,730.0,68.0
895.0,Rankin,City,Upton,780.0,603.0
896.0,Lake Tanglewood,Village,Randall,686.0,612.0
897.0,O'Donnell,City,Lynn,704.0,284.0
898.0,Weir,City,Williamson,699.0,358.0
899.0,Graford,City,Palo Pinto,669.0,717.0
900.0,San Felipe,Town,Austin,691.0,347.0
901.0,Detroit,Town,Red River,704.0,43.0
902.0,Cumby,City,Hopkins,679.0,398.0
903.0,Paradise,City,Wise,475.0,4758.0
904.0,Burke,City,Angelina,691.0,87.0
905.0,Beasley,City,Fort Bend,608.0,1382.0
906.0,Surfside Beach,City,Brazoria,640.0,813.0
907.0,Hillcrest,Village,Brazoria,705.0,199.0
908.0,Asherton,City,Dimmit,722.0,443.0
909.0,Point Blank,City,San Jacinto,643.0,669.0
910.0,Annetta South,Town,Parker,621.0,998.0
911.0,Golinda,City,Falls,618.0,987.0
912.0,Niederwald,City,Hays,668.0,165.0
913.0,Winona,Town,Smith,623.0,899.0
914.0,Mountain City,City,Hays,622.0,868.0
915.0,Agua Dulce,City,Nueces,685.0,146.0
916.0,New Hope,Town,Collin,661.0,212.0
917.0,Lott,City,Falls,644.0,373.0
918.0,Bardwell,City,Ellis,625.0,624.0
919.0,Driscoll,City,Nueces,680.0,279.0
920.0,Simonton,City,Fort Bend,647.0,185.0
921.0,Amherst,City,Lamb,678.0,339.0
922.0,McLean,Town,Gray,665.0,256.0
923.0,Cove,City,Chambers,525.0,2305.0
924.0,New Chapel Hill,City,Smith,620.0,403.0
925.0,Westover Hills,Town,Tarrant,641.0,78.0
926.0,Frost,City,Navarro,620.0,145.0
927.0,Silverton,City,Briscoe,629.0,0.0
928.0,Pattison,City,Waller,547.0,1408.0
929.0,Sunset Valley,City,Travis,683.0,864.0
930.0,Ladonia,Town,Fannin,597.0,402.0
931.0,Buffalo Gap,Town,Taylor,543.0,1363.0
933.0,Annetta North,Town,Parker,554.0,1065.0
934.0,Meadow,Town,Terry,601.0,200.0
935.0,Zavalla,City,Angelina,603.0,116.0
936.0,Happy,Town,Swisher,602.0,100.0
937.0,Ingleside on the Bay,City,San Patricio,614.0,195.0
938.0,Kress,City,Swisher,596.0,0.0
939.0,Campbell,City,Hunt,542.0,904.0
940.0,Stagecoach,Town,Montgomery,580.0,172.0
941.0,Lovelady,City,Houston,570.0,246.0
942.0,Roby,City,Fisher,591.0,169.0
943.0,Cushing,City,Nacogdoches,557.0,341.0
944.0,Riverside,City,Walker,522.0,939.0
945.0,Hawley,City,Jones,545.0,404.0
946.0,Point Comfort,City,Calhoun,603.0,680.0
947.0,Strawn,City,Palo Pinto,540.0,389.0
948.0,Roxton,City,Lamar,548.0,146.0
949.0,Rule,Town,Haskell,561.0,89.0
950.0,Deport,City,Lamar,550.0,73.0
951.0,Appleby,City,Nacogdoches,552.0,0.0
952.0,Groom,Town,Carson,552.0,54.0
953.0,Miami,City,Roberts,539.0,186.0
954.0,Snook,City,Burleson,506.0,830.0
955.0,Colmesneil,City,Tyler,542.0,74.0
956.0,Matador,Town,Motley,569.0,404.0
957.0,Chillicothe,City,Hardeman,549.0,128.0
958.0,San Perlita,City,Willacy,538.0,37.0
959.0,Petrolia,City,Clay,514.0,486.0
960.0,Bayview,Town,Cameron,475.0,1326.0
961.0,Thorntonville,Town,Ward,561.0,446.0
962.0,Newcastle,City,Young,526.0,171.0
963.0,Normangee,Town,Leon,495.0,808.0
964.0,Lipan,City,Hood,505.0,554.0
965.0,Liverpool,City,Brazoria,475.0,1158.0
966.0,Murchison,City,Henderson,516.0,155.0
967.0,Dean,City,Clay,488.0,697.0
968.0,Encinal,City,La Salle,540.0,352.0
969.0,Fruitvale,City,Van Zandt,476.0,819.0
970.0,Star Harbor,City,Henderson,482.0,664.0
971.0,Falls City,City,Karnes,514.0,39.0
972.0,Brazos Country,City,Austin,514.0,58.0
973.0,Camp Wood,City,Real,517.0,116.0
974.0,Mount Enterprise,City,Rusk,505.0,99.0
975.0,San Leanna,Village,Travis,522.0,249.0
976.0,Loraine,Town,Mitchell,504.0,79.0
977.0,Easton,City,Gregg,499.0,160.0
978.0,Briaroaks,City,Johnson,507.0,20.0
979.0,Pine Forest,City,Orange,499.0,100.0
980.0,Volente,Village,Travis,561.0,1034.0
981.0,Plantersville,City,Grimes,464.0,819.0
982.0,Alba,Town,Wood,473.0,550.0
983.0,Jayton,City,Kent,511.0,333.0
984.0,Gordon,City,Palo Pinto,470.0,404.0
985.0,Grey Forest,City,Bexar,492.0,81.0
986.0,Smiley,City,Gonzales,475.0,274.0
987.0,Talco,City,Titus,494.0,121.0
988.0,Union Valley,City,Hunt,370.0,3162.0
989.0,Lake City,Town,San Patricio,447.0,828.0
990.0,Hawk Cove,City,Hunt,452.0,686.0
991.0,Byers,City,Clay,454.0,396.0
992.0,Morgan,City,Bosque,454.0,374.0
993.0,Timbercreek Canyon,Village,Randall,430.0,953.0
994.0,Union Grove,City,Upshur,441.0,590.0
995.0,Nome,City,Jefferson,469.0,107.0
996.0,Texline,Town,Dallam,448.0,357.0
997.0,Cross Timber,Town,Johnson,362.0,2762.0
998.0,Kosse,Town,Limestone,458.0,87.0
999.0,Big Wells,City,Dimmit,483.0,455.0
